axis,index,coordinate
x,408,12.864378596518687
x,409,12.890631930295653
x,410,12.916900747794259
x,411,12.943185341499564
x,412,12.96948600407228
x,413,12.995803028352036
x,414,13.022136707360636
x,415,13.048487334305324
x,416,13.07485520258205
x,417,13.10124060577873
x,418,13.12764383767852
x,419,13.15406519226309
x,420,13.180504963715885
x,421,13.206963446425421
x,422,13.23344093498854
x,423,13.259937724213707
x,424,13.286454109124287
x,425,13.312990384961823
x,426,13.339546847189341
x,427,13.366123791494612
x,428,13.392721513793477
x,429,13.419340310233121
x,430,13.445980477195363
x,431,13.472642311299985
x,432,13.499326109408011
x,433,13.526032168625013
x,434,13.552760786304432
x,435,13.579512260050885
x,436,13.606286887723465
x,437,13.633084967439073
x,438,13.659906797575733
x,439,13.686752676775916
x,440,13.713622903949855
x,441,13.740517778278893
x,442,13.767437599218786
x,443,13.794382666503068
x,444,13.821353280146363
x,445,13.848349740447741
x,446,13.875372347994057
x,447,13.902421403663295
x,448,13.929497208627922
x,449,13.956600064358241
x,450,13.98373027262574
x,451,14.010888135506471
x,452,14.038073955384387
x,453,14.065288034954735
x,454,14.092530677227401
x,455,14.11980218553031
x,456,14.147102863512785
x,457,14.174433015148926
x,458,14.201792944741017
x,459,14.229182956922884
x,460,14.256603356663307
x,461,14.284054449269414
x,462,14.311536540390074
x,463,14.339049936019302
x,464,14.366594942499672
x,465,14.39417186652571
x,466,14.42178101514734
x,467,14.449422695773269
x,468,14.477097216174434
x,469,14.504804884487417
x,470,14.532546009217878
x,471,14.560320899243994
x,472,14.58812986381989
x,473,14.615973212579098
x,474,14.643851255537983
x,475,14.67176430309921
x,476,14.699712666055195
x,477,14.72769665559157
x,478,14.755716583290639
x,479,14.783772761134857
x,480,14.811865501510294
x,481,14.839995117210126
x,482,14.868161921438103
x,483,14.896366227812047
x,484,14.92460835036734
x,485,14.952888603560423
x,486,14.981207302272288
x,487,15.009564761811998
x,488,15.037961297920189
x,489,15.066397226772587
x,490,15.094872864983534
x,491,15.123388529609496
x,492,15.151944538152614
x,493,15.180541208564234
x,494,15.209178859248434
x,495,15.237857809065591
x,496,15.266578377335904
x,497,15.295340883842975
x,498,15.324145648837357
x,499,15.352992993040123
x,500,15.38188323764644
x,501,15.410816704329122
x,502,15.439793715242256
x,503,15.46881459302475
x,504,15.497879660803939
x,505,15.526989242199194
x,506,15.556143661325496
x,507,15.585343242797077
x,508,15.614588311731017
x,509,15.643879193750863
x,510,15.673216214990271
x,511,15.702599702096604
x,512,15.732029982234614
x,513,15.761507383090041
x,514,15.791032232873299
x,515,15.820604860323105
x,516,15.850225594710137
x,517,15.879894765840723
x,518,15.909612704060502
x,519,15.939379740258092
x,520,15.96919620586879
x,521,15.99906243287825
x,522,16.028978753826184
x,523,16.058945501810072
x,524,16.088963010488857
x,525,16.11903161408668
x,526,16.149151647396565
x,527,16.179323445784192
x,528,16.2095473451916
x,529,16.239823682140933
x,530,16.270152793738205
x,531,16.30053501767702
x,532,16.330970692242367
x,533,16.361460156314358
x,534,16.392003749372023
x,535,16.42260181149708
x,536,16.453254683377722
x,537,16.4839627063124
x,538,16.51472622221365
x,539,16.545545573611875
x,540,16.576421103659165
x,541,16.607353156133126
x,542,16.6383420754407
x,543,16.669388206622003
x,544,16.700491895354162
x,545,16.731653487955167
x,546,16.762873331387734
x,547,16.794151773263156
x,548,16.82548916184518
x,549,16.856885846053885
x,550,16.88834217546957
x,551,16.919858500336627
x,552,16.951435171567468
x,553,16.98307254074642
x,554,17.01477096013364
x,555,17.046530782669027
x,556,17.078352361976172
x,557,17.11023605236628
x,558,17.14218220884212
x,559,17.17419118710198
x,560,17.206263343543622
x,561,17.23839903526825
x,562,17.270598620084503
x,563,17.302862456512408
x,564,17.335190903787403
x,565,17.367584321864317
x,566,17.40004307142138
x,567,17.432567513864246
x,568,17.465158011330015
x,569,17.497814926691262
x,570,17.530538623560087
x,571,17.563329466292142
x,572,17.59618781999071
x,573,17.629114050510765
x,574,17.66210852446303
x,575,17.69517160921809
x,576,17.72830367291044
x,577,17.761505084442625
x,578,17.794776213489328
x,579,17.828117430501486
x,580,17.861529106710414
x,581,17.89501161413194
x,582,17.928565325570553
x,583,17.962190614623555
x,584,17.995887855685204
x,585,18.029657423950905
x,586,18.063499695421353
x,587,18.09741504690677
x,588,18.131403856031067
x,589,18.16546650123604
x,590,18.19960336178562
x,591,18.233814817770046
x,592,18.26810125011016
x,593,18.30246304056158
x,594,18.33690057171902
x,595,18.37141422702048
x,596,18.40600439075157
x,597,18.440671448049756
x,598,18.475415784908673
x,599,18.5102377881824
x,600,18.545137845589796
x,601,18.580116345718764
x,602,18.615173678030644
x,603,18.650310232864502
x,604,18.685526401441503
x,605,18.720822575869246
x,606,18.756199149146138
x,607,18.79165651516578
x,608,18.82719506872134
x,609,18.86281520550995
x,610,18.898517322137128
x,611,18.93430181612116
x,612,18.97016908589756
x,613,19.00611953082349
x,614,19.04215355118221
x,615,19.078271548187537
x,616,19.114473923988303
x,617,19.15076108167284
x,618,19.187133425273483
x,619,19.223591359771024
x,620,19.26013529109929
