test_id,fuel_raw,nozzle_mm,pressure_pa,xf,fuel_display,air_display,fan_setting,smoke_point_pixels,smoke_point_mm,flame_width_mm,tad_k,total_fuel_sccm,hc_only_sccm,mdot_total_mg_s,mdot_hc_mg_s,coflow_velocity_cm_s,fuel_jet_velocity_cm_s,series,platform,fuel,fuel_fraction,investigation,source,gravity
50P16-1,50 % Propylene,1.6002,101325.0,0.5,205.0,49.0,106.0,338.0,41.72808115184219,5.997398240168101,2288.3,119.21985815602838,59.60992907801419,2.8846333510691733,1.7321136405921984,40.152184247612084,98.80045324005025,spice_flight,ISS,propylene,0.5,PSI-107,experiment,microgravity
50P16-2,50 % Propylene,1.6002,101325.0,0.5,156.0,34.0,81.0,378.0,32.50131462850665,5.536059914001324,2288.3,90.72340425531915,45.361702127659576,2.195135623252639,1.318096233816502,26.048953479978174,75.18473514852603,spice_flight,ISS,propylene,0.5,PSI-107,experiment,microgravity
50P16-3,50 % Propylene,1.6002,101325.0,0.5,115.0,20.0,55.0,406.0,26.51562647149835,8.506229383006954,2288.3,66.87943262411348,33.43971631205674,1.6182089530388044,0.9716735056980624,12.885938096853188,55.42464450051599,spice_flight,ISS,propylene,0.5,PSI-107,experiment,microgravity
50P16-4,50 % Propylene,1.6002,101325.0,0.5,155.0,34.0,73.0,376.0,33.41256921447696,7.126840834411231,2288.3,90.14184397163122,45.07092198581561,2.1810642410523013,1.3096468989843453,26.048953479978174,74.70278171808677,spice_flight,ISS,propylene,0.5,PSI-107,experiment,microgravity
50P16-5,50 % Propylene,1.6002,101325.0,0.5,207.0,49.0,97.0,337.0,42.37859478034915,6.207248468680749,2288.3,120.38297872340426,60.19148936170213,2.912776115469848,1.7490123102565127,40.152184247612084,99.76436010092878,spice_flight,ISS,propylene,0.5,PSI-107,experiment,microgravity
50P16-6,50 % Propylene,1.6002,101325.0,0.5,234.0,58.0,110.0,306.0,49.50543561476039,5.977350377248129,2288.3,136.08510638297875,68.04255319148938,3.292703434878959,1.9771443507247537,48.61412270819243,112.77710272278907,spice_flight,ISS,propylene,0.5,PSI-107,experiment,microgravity
50P16-7,50 % Propylene,1.6002,101325.0,0.5,103.0,18.0,56.0,423.0,22.121202289754166,5.305390750917936,2288.3,59.900709219858165,29.950354609929082,1.4493523666347554,0.8702814877121778,11.005507327835332,49.64120333524476,spice_flight,ISS,propylene,0.5,PSI-107,experiment,microgravity
P16-1,Propylene,1.6002,101325.0,1.0,84.0,61.0,139.0,414.0,25.731627702244865,4.516724120023938,2331.98,34.44,34.44,1.0007392175206826,1.0007392175206826,51.43476886171922,28.541282150613537,spice_flight,ISS,propylene,1.0,PSI-107,experiment,microgravity
P16-2,Propylene,1.6002,101325.0,1.0,61.0,42.0,105.0,441.0,19.63405014021255,5.420068944028726,2331.98,25.009999999999998,25.009999999999998,0.7267272889138292,0.7267272889138292,33.57067655604959,20.72640727604078,spice_flight,ISS,propylene,1.0,PSI-107,experiment,microgravity
P16-3,Propylene,1.6002,101325.0,1.0,46.0,30.0,81.0,458.0,15.7948346381922,5.871741356031119,2331.98,18.86,18.86,0.5480238572137073,0.5480238572137073,22.28809194194246,15.629749749145509,spice_flight,ISS,propylene,1.0,PSI-107,experiment,microgravity
P16-4,Propylene,1.6002,101325.0,1.0,37.0,16.0,55.0,466.0,13.988144990182633,6.097577562032317,2331.98,15.17,15.17,0.4408017981936341,0.4408017981936341,9.125076558817476,12.571755233008343,spice_flight,ISS,propylene,1.0,PSI-107,experiment,microgravity
P16-5,Propylene,1.6002,101325.0,1.0,48.0,28.0,72.0,452.0,15.486779909668897,8.509832033424042,2331.98,19.68,19.68,0.5718509814403901,0.5718509814403901,20.407661172924605,16.309304086064877,spice_flight,ISS,propylene,1.0,PSI-107,experiment,microgravity
P16-6,Propylene,1.6002,101325.0,1.0,33.0,17.0,56.0,461.0,13.416820766403589,8.049841112698418,2331.98,13.53,13.53,0.3931475497402682,0.3931475497402682,10.065291943326404,11.212646559169603,spice_flight,ISS,propylene,1.0,PSI-107,experiment,microgravity
P16-7,Propylene,1.6002,101325.0,1.0,60.0,38.0,88.0,443.0,17.556739052934205,8.049841112698418,2331.98,24.599999999999998,24.599999999999998,0.7148137268004876,0.7148137268004876,29.809815018013886,20.386630107581095,spice_flight,ISS,propylene,1.0,PSI-107,experiment,microgravity
P16-8,Propylene,1.6002,101325.0,1.0,98.0,67.0,139.0,404.0,26.526562007083882,6.899863810884358,2331.98,40.18,40.18,1.1675290871074633,1.1675290871074633,57.07606116877278,33.29816250904913,spice_flight,ISS,propylene,1.0,PSI-107,experiment,microgravity
P16-9,Propylene,1.6002,101325.0,1.0,81.0,56.0,118.0,419.0,23.076630101641697,7.359854731609982,2331.98,33.21,33.21,0.9649985311806584,0.9649985311806584,46.73369193917458,27.521950645234483,spice_flight,ISS,propylene,1.0,PSI-107,experiment,microgravity
P16-10,Propylene,1.6002,101325.0,1.0,64.0,49.0,90.0,435.0,19.396702735836712,7.359854731609982,2331.98,26.24,26.24,0.7624679752538535,0.7624679752538535,40.152184247612084,21.745738781419835,spice_flight,ISS,propylene,1.0,PSI-107,experiment,microgravity
