test_id,flex_identifier,test_date,test_gmt,fuel,pressure_mmhg,o2_frac,n2_frac,co2_frac,he_frac,d0_mm,dext_mm,burning_rate_mm2_s,burn_time_s,test_end,burn_time_s_approx,pressure_atm,extinction,investigation,source,gravity
49,209F003,1/19/2010,9:09:16,Heptane,764.9,0.21,0.79,0.0,0.0,3.46,2.78,0.59,8.6,Extinction,False,1.0064473684210526,1,PSI-69,experiment,microgravity
50,209F004,1/19/2010,14:08:17,Heptane,770.1,0.21,0.79,0.0,0.0,3.57,2.98,0.52,8.4,Extinction,False,1.0132894736842106,1,PSI-69,experiment,microgravity
51,209F005,1/19/2010,16:38:35,Heptane,771.4,0.21,0.79,0.0,0.0,2.41,0.0,0.65,8.2,Completion,False,1.015,0,PSI-69,experiment,microgravity
54,190F003,1/29/2010,11:27:01,Methanol,541.4,0.2,0.8,0.0,0.0,3.56,,0.41,29.0,Extinction,False,0.7123684210526315,1,PSI-69,experiment,microgravity
56,194F001,1/29/2010,19:13:22,Heptane,544.1,0.2,0.79,0.0,0.0,3.56,3.04,0.44,7.9,Completion,False,0.715921052631579,0,PSI-69,experiment,microgravity
57,303F001,1/29/2010,19:50:16,Heptane,544.4,0.2,0.79,0.0,0.0,3.1,2.49,0.54,6.8,Extinction,False,0.7163157894736841,1,PSI-69,experiment,microgravity
58,176F001,2/4/2010,2:32:01,Methanol,773.3,0.18,0.82,0.0,0.0,3.69,,0.42,29.1,Extinction,False,1.0174999999999998,1,PSI-69,experiment,microgravity
59,176R001,2/4/2010,0:26:28,Methanol,769.2,0.18,0.82,0.0,0.0,2.93,1.39,0.43,17.7,Extinction,False,1.0121052631578948,1,PSI-69,experiment,microgravity
60,204F001,2/4/2010,3:26:05,Methanol,773.7,0.18,0.82,0.0,0.0,3.43,,0.45,23.2,Extinction,False,1.0180263157894738,1,PSI-69,experiment,microgravity
61,204R001,2/4/2010,3:52:39,Methanol,774.1,0.18,0.82,0.0,0.0,3.68,2.0,0.41,25.7,Extinction,False,1.0185526315789475,1,PSI-69,experiment,microgravity
62,301F001,3/11/2010,21:37:48,Heptane,761.8,0.18,0.82,0.0,0.0,3.43,3.17,0.39,4.8,Extinction,False,1.0023684210526316,1,PSI-69,experiment,microgravity
63,301F002,3/11/2010,23:07:51,Heptane,767.6,0.18,0.81,0.0,0.0,2.15,0.0,0.51,9.6,Completion,False,1.01,0,PSI-69,experiment,microgravity
64,302F001,3/11/2010,22:12:39,Heptane,764.6,0.18,0.81,0.0,0.0,2.69,2.07,0.6,5.5,Extinction,False,1.0060526315789473,1,PSI-69,experiment,microgravity
65,189R001,3/19/2010,8:42:53,Methanol,765.9,0.15,0.85,0.0,0.0,3.37,,0.4,24.3,Extinction,False,1.0077631578947368,1,PSI-69,experiment,microgravity
66,189F001,3/19/2010,9:26:45,Methanol,766.8,0.15,0.85,0.0,0.0,2.52,1.32,0.38,12.9,Extinction,False,1.0089473684210526,1,PSI-69,experiment,microgravity
67,189F002,3/19/2010,10:17:06,Methanol,767.7,0.15,0.85,0.0,0.0,3.97,3.3,0.36,14.4,Extinction,False,1.0101315789473684,1,PSI-69,experiment,microgravity
