fuel,d0_mm,pressure_atm,xo2,measurement,value,source,error_bar_side,data_file,doi,figure,investigation,gravity
n-dodecane,4.042,1.0,0.21,dext_hot_mm,3.554,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-dodecane,4.137,1.0,0.21,dext_hot_mm,3.571,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-dodecane,4.039,1.0,0.21,dext_hot_mm,3.577,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-dodecane,4.408,1.0,0.21,dext_cool_mm,0.0,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-dodecane,4.042,1.0,0.21,dext_cool_mm,0.4,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-dodecane,4.137,1.0,0.21,dext_cool_mm,0.0,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-dodecane,4.039,1.0,0.21,dext_cool_mm,0.497,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-dodecane,4.408,1.0,0.21,dext_hot_mm,4.197,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-dodecane,4.042,1.0,0.21,dext_hot_mm,3.69589,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-dodecane,4.137,1.0,0.21,dext_hot_mm,3.8303,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-dodecane,4.039,1.0,0.21,dext_hot_mm,3.69188,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-dodecane,5.0,1.0,0.21,dext_hot_mm,4.88,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-dodecane,6.0,1.0,0.21,dext_hot_mm,5.97,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-dodecane,4.408,1.0,0.21,dext_cool_mm,0.22316,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-dodecane,4.042,1.0,0.21,dext_cool_mm,0.226994,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-dodecane,4.137,1.0,0.21,dext_cool_mm,0.2888,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-dodecane,4.039,1.0,0.21,dext_cool_mm,0.218594,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-dodecane,5.0,1.0,0.21,dext_cool_mm,0.32,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-dodecane,6.0,1.0,0.21,dext_cool_mm,0.45,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
