GMT date,GMT ignition,GMT  Flame Off ,Fuel,Nozzle (mm),Fuel Rate (sccm),Fuel Rate (mg/s),HC Fuel Rate (mg/s),Air Rate (cm/s)
55,10:34:07,10:36:51,50 % Propylene,0.762,28.4964539,0.676,0.406,14.77
55,10:34:07,10:36:51,50 % Propylene,0.762,28.4964539,0.676,0.406,23.23
55,10:34:07,10:36:51,50 % Propylene,0.762,27.91489362,0.662,0.397,33.57
55,10:34:07,10:36:51,50 % Propylene,0.762,27.91489362,0.662,0.397,45.79
55,10:34:07,10:36:51,50 % Propylene,0.762,27.33333333,0.648,0.389,50.49
55,10:52:20,10:53:29,50 % Propylene,0.4064,19.77304965,0.469,0.281,11.01
55,10:52:20,10:53:29,50 % Propylene,0.4064,21.5177305,0.51,0.306,11.01
55,10:52:20,10:53:29,50 % Propylene,0.4064,11.63120567,0.276,0.166,11.01
55,11:12:41,11:14:05,50 % Propylene,0.4064,22.68085106,0.538,0.323,10.07
55,11:12:41,11:14:05,50 % Propylene,0.4064,11.63120567,0.276,0.166,11.01
55,11:12:41,11:14:05,50 % Propylene,0.4064,25.58865248,0.607,0.364,11.01
55,11:12:41,11:14:05,50 % Propylene,0.4064,22.68085106,0.538,0.323,11.01
55,11:12:41,11:14:05,50 % Propylene,0.4064,11.04964539,0.262,0.157,11.01
55,11:12:41,11:14:05,50 % Propylene,0.4064,25.58865248,0.607,0.364,10.07
58,9:37:52,9:38:55,Propylene,1.6002,14.35,0.409,0.409,9.13
58,9:37:52,9:38:55,Propylene,1.6002,14.35,0.409,0.409,9.13
58,9:37:52,9:38:55,Propylene,1.6002,10.25,0.292,0.292,9.13
58,9:37:52,9:38:55,Propylene,1.6002,16.81,0.479,0.479,9.13
58,9:44:17,9:45:31,Propylene,1.6002,18.86,0.537,0.537,21.35
58,9:44:17,9:45:31,Propylene,1.6002,11.48,0.327,0.327,22.29
58,9:44:17,9:45:31,Propylene,1.6002,18.86,0.537,0.537,22.29
58,9:44:17,9:45:31,Propylene,1.6002,11.48,0.327,0.327,22.29
58,9:44:17,9:45:31,Propylene,1.6002,24.6,0.701,0.701,22.29
58,9:47:05,9:48:11,Propylene,1.6002,27.47,0.782,0.782,34.51
58,9:47:05,9:48:11,Propylene,1.6002,12.3,0.35,0.35,33.57
58,9:47:05,9:48:11,Propylene,1.6002,25.01,0.712,0.712,33.57
58,9:47:05,9:48:11,Propylene,1.6002,12.71,0.362,0.362,33.57
58,9:47:05,9:48:11,Propylene,1.6002,28.7,0.817,0.817,34.51
58,9:55:18,9:56:30,Propylene,1.6002,33.21,0.946,0.946,50.49
58,9:55:18,9:56:30,Propylene,1.6002,16.81,0.479,0.479,50.49
58,9:55:18,9:56:30,Propylene,1.6002,33.21,0.946,0.946,50.49
58,9:55:18,9:56:30,Propylene,1.6002,16.81,0.479,0.479,50.49
58,9:55:18,9:56:30,Propylene,1.6002,38.54,1.097,1.097,50.49
58,Ku LOS,Ku LOS,Propylene,1.6002,,,0,
58,Ku LOS,Ku LOS,Propylene,1.6002,,,0,
58,Ku LOS,Ku LOS,Propylene,1.6002,,,0,
58,10:13:22,10:14:34,Propylene,0.762,13.12,0.374,0.374,7.24
58,10:13:22,10:14:34,Propylene,0.762,8.2,0.234,0.234,6.3
58,10:13:22,10:14:34,Propylene,0.762,15.99,0.455,0.455,6.3
58,10:18:27,Ku LOS,Propylene,0.762,,,0,
58,10:18:27,Ku LOS,Propylene,0.762,,,0,
58,10:18:27,Ku LOS,Propylene,0.762,,,0,
58,10:36:19,10:37:35,Propylene,0.762,25.83,0.736,0.736,27.93
58,10:36:19,10:37:35,Propylene,0.762,12.71,0.362,0.362,27.93
58,10:36:19,10:37:35,Propylene,0.762,28.29,0.806,0.806,26.99
58,10:41:14,10:42:18,Propylene,0.762,33.21,0.946,0.946,41.09
58,10:41:14,10:42:18,Propylene,0.762,16.4,0.467,0.467,40.15
58,10:41:14,10:42:18,Propylene,0.762,36.08,1.027,1.027,40.15
58,11:23:08,11:24:13,Propylene,0.4064,34.85,0.992,0.992,4.42
58,11:23:08,11:24:13,Propylene,0.4064,16.81,0.479,0.479,4.42
58,11:25:49,11:26:58,Propylene,0.4064,46.33,1.319,1.319,14.77
58,11:25:49,11:26:58,Propylene,0.4064,22.96,0.654,0.654,14.77
58,11:25:49,11:26:58,Propylene,0.4064,46.33,1.319,1.319,14.77
58,11:25:49,11:26:58,Propylene,0.4064,23.37,0.665,0.665,14.77
58,11:32:00,11:33:13,Propylene,0.4064,49.61,1.413,1.413,26.99
58,11:32:00,11:33:13,Propylene,0.4064,24.6,0.701,0.701,26.05
58,11:34:18,11:35:19,Propylene,0.4064,58.63,1.67,1.67,39.21
58,n/a,n/a,Propylene,0.4064,,,0,
58,11:42:53,11:43:50,Propylene,0.4064,58.22,1.658,1.658,40.15
58,11:42:53,11:43:50,Propylene,0.4064,28.7,0.817,0.817,40.15
58,11:55:33,11:58:04,Propylene,0.4064,28.7,0.817,0.817,41.09
58,11:55:33,11:58:04,Propylene,0.4064,47.56,1.354,1.354,39.21
58,12:00:46,12:01:27,Propylene,0.4064,47.97,1.366,1.366,41.09
58,Ku LOS,Ku LOS,Propylene,0.4064,,,0,
58,12:15:41,12:16:28,Propylene,0.4064,47.56,1.354,1.354,41.09
58,12:42:59,12:43:30,Propylene,0.762,12.71,0.362,0.362,26.99
58,12:42:59,12:43:30,Propylene,0.762,12.71,0.362,0.362,26.99
58,12:42:59,,Propylene,0.762,12.3,0.35,0.35,26.99
58,12:45:46,12:46:19,Propylene,0.762,12.3,0.35,0.35,26.99
119,10:28:17,10:30:51,75 % Propylene,1.6002,71.28,0.774,0.436,13.83
119,10:28:17,10:30:51,75 % Propylene,1.6002,35.28,0.383,0.216,12.89
119,10:28:17,10:30:51,75 % Propylene,1.6002,38.16,0.414,0.233,12.89
119,10:28:17,10:30:51,75 % Propylene,1.6002,42.48,0.461,0.26,12.89
